Address,Price,Beds,Baths,Sqft
"5358 Carolina Hwy, Denmark, SC 29042",220000,7,9,4187
"302 West Rd, Greer, SC 29650",213000,3,2,1484
"4293 Brandy Creek Ct #91, Clover, SC 29710",199900,4,4,3272
"121 Spring Water Dr, Lexington, SC 29073",209900,3,3,1936
"7 Stone Meadow Rd, Greenville, SC 29615",215000,2,2,1457
"600 Norfolk St, Florence, SC 29506",190000,3,2,1409
"587 Pine St, Warrenville, SC 29851",240000,3,2,1551
"217 Pleasant Dr, Greer, SC 29651",225000,3,2,1266
"718 Kingsbridge Rd, Columbia, SC 29210",249000,4,3,2424
"204 Forest Ave, Anderson, SC 29625",173000,3,3,2017
"1114 Lakeview Blvd, Hartsville, SC 29550",215000,3,2,1600
"2983 Highway 418, Fountain Inn, SC 29644",114900,3,3,1750
"476 Live Oak Church Rd., Loris, SC 29569",235000,3,2,1438
"2410 High St, Columbia, SC 29203",129000,3,1,1302
"190 Boys Home Rd, Pauline, SC 29374",239900,4,3,2459
"160 Fairway Grn, Anderson, SC 29621",179900,4,2,1935
"37 Vanderbilt Dr, Aiken, SC 29803",235000,3,2,1550
"1368 E Old Marion Hwy, Florence, SC 29506",199500,3,2,1619
"425 Brantley Dr, Hartsville, SC 29550",240000,3,2,2061
"613 Cantey Pkwy, Camden, SC 29020",185000,3,2,1320
"505 Forestbrook Dr., Myrtle Beach, SC 29579",239500,4,2,1569
"102 Huntingridge Pl, Summerville, SC 29486",185000,4,3,1834
"76 Proud Hope Ln, Due West, SC 29639",75000,2,2,1534
"205 Woodlands W, Columbia, SC 29229",225000,3,3,2007
"2730 Cultra Rd., Conway, SC 29526",147900,2,1,2548
"924 Bridge St, Saint Matthews, SC 29135",95000,3,2,1615
"300 E Myles Ln, Spartanburg, SC 29303",220000,3,2,1251
"1600 Bolt Dr, Anderson, SC 29621",225000,3,2,1500
"117 Dover Rd, Spartanburg, SC 29301",250000,3,3,2010
"117 Whitehurst Way, Columbia, SC 29229",185000,3,2,1623
"2109 Apple Valley Rd, Columbia, SC 29210",195000,4,2,1734
"2816 Pisgah Rd, Florence, SC 29501",225000,2,2,1520
"206 Gibert St, Union, SC 29379",250000,4,3,3583
"93 Orchard Dr, Inman, SC 29349",239900,3,2,1835
"1419 Hobart Dr, Florence, SC 29501",235000,3,2,1704
"27031 Pocotaligo Rd, Yemassee, SC 29945",240000,3,2,1962
"3205 W Bobo Newsom Hwy, Hartsville, SC 29550",209900,3,2,1580
"117 Wrightson Ave, Spartanburg, SC 29306",210000,3,2,1646
"8261 Truman Ave, Aiken, SC 29803",185000,3,2,1545
"131 Whixley Ln, Columbia, SC 29223",209900,3,2,1266
"320 Woodview Ave, Spartanburg, SC 29306",150000,4,3,2300
